2020/06/14 21:06:56 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: Loading system properties from: /Users/mridul.das/.jenkins/mavenJmeter/target/jmeter/bin/system.properties 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: java.version=11.0.3 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: os.name=Mac OS X 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: os.arch=x86_64 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: os.version=10.14.6 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: Max memory     =536870912 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: Available Processors =12 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: JMeterHome=/Users/mridul.das/.jenkins/mavenJmeter/target/jmeter 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: user.dir  =/Users/mridul.das/.jenkins/mavenJmeter/target/jmeter/bin 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: PWD       =/Users/mridul.das/.jenkins/mavenJmeter/target/jmeter/bin 
2020/06/14 21:06:57 INFO  - jmeter.JMeter: IP: 92.242.132.24 Name: DEM-C02XCEHMJG5H FullName: 92.242.132.24 
2020/06/14 21:06:57 INFO  - jmeter.services.FileServer: Default base='/Users/mridul.das/.jenkins/mavenJmeter/target/jmeter/bin' 
2020/06/14 21:06:57 INFO  - jmeter.services.FileServer: Set new base='/Users/mridul.das/.jenkins/mavenJmeter/target/jmeter/testFiles' 
